site,Station_Name,YLat,XLong,TP,TP_CAT,SID
14855,Neck River,41.2959,-72.6235,0.0119,L,Neck River_14855
17398,Negro Hill Brook,41.7254,-72.95,0.017,L,Negro Hill Brook_17398
16335,Nonewaug River,41.5783,-73.1745,0.0295,M,Nonewaug River_16335
14999,North Running Brook,41.9645,-71.9657,9.87E-02,H,North Running Brook_14999
14361,Norwalk River,41.1359,-73.426,8.56E-02,H,Norwalk River_14361
14553,Norwalk River,41.2604,-73.4367,0.083,H,Norwalk River_14553
14853,Norwalk River,41.2026,-73.4311,0.101,H,Norwalk River_14853
16928,Obwebetuck Brook,41.6911,-72.1806,0.023,M,Obwebetuck Brook_16928
14733,Oxoboxo Brook,41.4366,-72.1062,0.015,L,Oxoboxo Brook_14733
14377,Pattaconk Brook,41.3991,-72.4651,1.77E-02,L,Pattaconk Brook_14377
15796,PENDLETON HILL BROOK,41.4748,-71.8342,2.32E-02,M,PENDLETON HILL BROOK_15796
14392,Pequabuck River,41.6738,-72.8977,0.70785,H,Pequabuck River_14392
14397,Piper Brook,41.7186,-72.7274,0.04,M,Piper Brook_14397
16972,PITCH BROOK,41.7067,-73.1619,1.27E-02,L,PITCH BROOK_16972
14404,Pomperaug River,41.4717,-73.256,0.03,M,Pomperaug River_14404
15012,Pomperaug River,41.5218,-73.2061,0.025,M,Pomperaug River_15012
14856,Pond Meadow Brook,41.3807,-72.5904,0.01295,L,Pond Meadow Brook_14856
15901,Pond Meadow Brook,41.3777,-72.5946,2.03E-02,M,Pond Meadow Brook_15901
14732,Poquetanuck Brook (Hewitt Brook),41.4981,-72.0365,5.63E-02,M,Poquetanuck Brook (Hewitt Brook)_14732
14852,Pumpkin Ground Brook,41.2415,-73.1341,0.0253,M,Pumpkin Ground Brook_14852
16984,PURCHASE BROOK,41.4686,-73.2911,0.016,L,PURCHASE BROOK_16984
14740,Quaker Brook,41.512349,-73.52695,0.021,M,Quaker Brook_14740
14410,Quinebaug River,42.022,-71.9528,2.51E-02,M,Quinebaug River_14410
14598,Quinebaug River,41.6022,-71.9868,0.047,M,Quinebaug River_14598
14609,Quinebaug River,41.9081,-71.9096,0.041,M,Quinebaug River_14609
14413,Quinnipiac River,41.528244,-72.856272,0.24648,H,Quinnipiac River_14413
14414,Quinnipiac River,41.4501,-72.8407,0.184896667,H,Quinnipiac River_14414
15196,Quinnipiac River,41.4997,-72.8184,0.341318182,H,Quinnipiac River_15196
15479,Quinnipiac River,41.5996,-72.8854,0.052,M,Quinnipiac River_15479
16311,Reservoir Brook,41.6089,-72.5999,0.008,L,Reservoir Brook_16311
15169,Roaring Brook,41.7594,-72.8808,0.024,M,Roaring Brook_15169
14863,Rocky Brook,42.0134,-71.802,0.0247,M,Rocky Brook_14863
16114,Rugg Brook,41.9328,-73.1214,0.0185,L,Rugg Brook_16114
14880,Sages Ravine Brook,42.0495,-73.4301,0.01,L,Sages Ravine Brook_14880
14436,Salmon Brook,41.7191,-72.602,0.01775,L,Salmon Brook_14436
14441,Salmon River,41.5742,-72.4294,0.014302381,L,Salmon River_14441
14461,Sandy Brook (Still River),41.9685,-73.0331,0.068,H,Sandy Brook (Still River)_14461
14442,Sandy Brook,41.974,-73.0406,1.12E-02,L,Sandy Brook_14442
14843,Sandy Brook,41.9904,-73.058,0.00879,L,Sandy Brook_14843
14667,Sasco Brook,41.1528,-73.306,3.76E-02,M,Sasco Brook_14667
14444,Saugatuck River,41.2945,-73.3948,2.02E-02,M,Saugatuck River_14444
14846,Sawmill Brook,41.5851,-73.5108,0.0107,L,Sawmill Brook_14846
15007,Sawmill Brook,41.7398,-72.2017,2.23E-02,M,Sawmill Brook_15007
15015,Seth Williams Brook,41.4399,-71.9741,0.118,H,Seth Williams Brook_15015
17852,Shady Oak School House Brook,41.89866,-71.80928,0.02725,M,Shady Oak School House Brook_17852
14450,Shepaug River,41.5489,-73.3308,2.97E-02,M,Shepaug River_14450
18884,Shepaug River,41.63914,-73.32138,0.0405,M,Shepaug River_18884
17568,Sherman Brook,41.576275,-72.287584,0.023,M,Sherman Brook_17568
14451,Shetucket River,41.7002,-72.1823,0.045,M,Shetucket River_14451
14721,Shunock River,41.4101,-71.8452,0.03,M,Shunock River_14721
14859,Shunock River,41.4304,-71.8526,0.016,L,Shunock River_14859
14865,Skungamaug River,41.8737,-72.3514,0.0376,M,Skungamaug River_14865
15201,Spoonshop Brook,41.545673,-72.765549,0.02,M,Spoonshop Brook_15201
17061,SPRING LOT BROOK,41.3019,-72.4569,0.026,M,SPRING LOT BROOK_17061
14866,Stickney Hill Brook,41.9833,-72.2179,2.87E-02,M,Stickney Hill Brook_14866
14998,Still Brook,42.0192,-72.3127,0.016,L,Still Brook_14998
14458,Still River,41.4389,-73.401,0.125666667,H,Still River_14458
14462,Still River,41.3923,-73.4348,0.025,M,Still River_14462
16128,Stonehouse Brook,41.7812,-72.1509,0.016,L,Stonehouse Brook_16128
14465,Stony Brook,41.9608,-72.711,0.111,H,Stony Brook_14465
14470,Tankerhoosen River,41.8272,-72.464,0.007,L,Tankerhoosen River_14470
14473,Ten Mile River,41.5267,-72.9331,0.021,M,Ten Mile River_14473
15964,Thompson Brook,41.7681,-72.8497,0.021,M,Thompson Brook_15964
15016,Titicus River,41.3304,-73.5292,0.103666667,H,Titicus River_15016
18875,Walker Brook,41.598459,-73.347537,0.038,M,Walker Brook_18875
15003,Wappoquia Brook,41.8751,-71.9658,0.053,M,Wappoquia Brook_15003
