RBAS_NO,REGIONAL,MBAS_NO,MAJOR,CumArea,FORLoad,DEVLoad,AGLoad,STP2010,STP2015,STPFuture,CountOfNPDESID,OTSTLoad2010,OTSTLoad2015,OTSTLoadFuture,TLoadKG_S,TLoadKG_S2015,TLoadKG_Sfuture,Yield2010,Yield2015,YieldFuture,PctRed2015,PctRedFuture,C2010,C2015,CFUT
62,Hollenbeck,6,Housatonic,109.84,509.3034253,254.2253924,180.7434267,0,0,0,0,0,0,0,944.2722444,944.2722444,944.2722444,8.596797564,8.596797564,8.596797564,NA,NA,LM,LM,LM
63,Tenmile,6,Housatonic,544.6,2204.99146,2371.817933,4416.790283,0,0,0,0,0,0,0,8993.599676,8993.599676,8993.599676,16.51413822,16.51413822,16.51413822,NA,NA,LM,LM,LM
64,Candlewood,6,Housatonic,104.879,167.374278,382.9797471,33.67566734,0,0,0,0,0,0,0,584.0296924,584.0296924,584.0296924,5.568604701,5.568604701,5.568604701,NA,NA,L,L,L
65,Aspetuck,6,Housatonic,131.566,512.4164393,570.7305774,362.6014241,0,0,0,0,0,0,0,1445.748441,1445.748441,1445.748441,10.98876945,10.98876945,10.98876945,NA,NA,LM,LM,LM
66,Still,6,Housatonic,177.922,317.9190273,2536.46394,159.5251919,7620.862695,3384.347264,732.8685944,1,0,0,0,10634.77085,6398.255423,3746.776753,59.77209594,35.96101338,21.0585355,40,65,H,H,LM
67,Shepaug,6,Housatonic,399.677,1310.32492,1318.301409,1232.87669,1268.687752,1268.687752,967.7748194,1,0,0,0,5130.190771,5130.190771,4829.277838,12.83584187,12.83584187,12.08295158,NA,6,LM,LM,LM
68,Pomperaug,6,Housatonic,230.215,617.6869616,1085.696478,1021.283721,1059.990073,1059.990073,1059.990073,1,0,0,0,3784.657233,3784.657233,3784.657233,16.43966394,16.43966394,16.43966394,NA,NA,LM,LM,LM
69,Naugatuck,6,Housatonic,804.135,2191.709471,7706.29758,2166.124252,85435.97642,33864.29767,9511.760737,8,0,0,0,97500.10772,45928.42897,21575.89204,121.2484318,57.1153214,26.83118138,53,78,H,H,HM
70,Southwest Shoreline,7,Southwest Coast,107.2582717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,Southwest Eastern,7,Southwest Coast,255.4418041,561.4553425,5654.199698,138.431593,0,0,0,0,0,0,0,6354.086634,6354.086634,6354.086634,24.87488943,24.87488943,24.87488943,NA,NA,LM,LM,LM
72,Saugatuck,7,Southwest Coast,232.353,642.0258618,1825.131335,144.1382636,0,0,0,0,0,0,0,2611.29546,2611.29546,2611.29546,11.23848394,11.23848394,11.23848394,NA,NA,LM,LM,LM
73,Norwalk,7,Southwest Coast,160.37,397.361661,2095.52353,85.20748882,871.832762,341.3072922,252.3785888,3,0,0,0,3449.925442,2919.399972,2830.471269,21.51228685,18.20415272,17.64963066,15,18,LM,LM,LM
74,Southwest Western Complex,7,Southwest Coast,407.8566292,623.799429,4995.855164,182.9074358,1014.36779,1014.36779,142.6909714,1,0,0,0,6816.929818,6816.929818,5945.253,16.71403462,16.71403462,14.57682081,NA,13,LM,LM,LM
